名称,位置,建面,销售状态,类型,价格
枫溪美郡,沣西新城统一大道西段，西部云谷旁,建面 172~396m²,在售,别墅,10000
先河泉上花间,世纪大道西段世纪西路以东,建面 69~129m²,在售,普通住宅,4400
启迪国际城逸居,世纪大道中段55号,建面 52~117m²,在售,普通住宅,4800
阳光城壹号巴塞阳光,沣东新城世纪大道北侧,建面 93~144m²,在售,普通住宅,5500
启迪国际城仕家,世纪大道中段与韩非路交接十字东北角,建面 94~161m²,在售,普通住宅,4900
日月星城,文林路东段,建面 71~99m²,在售,普通住宅,4300
中天诚品,草滩八路横桥北口,建面 140m²,在售,别墅,250
华润二十四城,三桥新街地铁一号线B出口向西400米,,售罄,普通住宅,6800
阳光城壹号蔷薇溪谷,世纪大道与上林路十字向北500米,建面 266m²,售罄,别墅,11000
恒大都市广场,西安市沣东新城世纪大道与车城西路交汇处,建面 82~119m²,售罄,普通住宅,8700
北城新天地,西高路与桑军大道交汇大转盘西南角,建面 92m²,在售,普通住宅,3900
九如居,泾渭四路51号,建面 136m²,在售,普通住宅,3700
泾渭分明生态半岛,长庆东路东段路南（水岸花城附近）,建面 83~138m²,在售,普通住宅,4600
暻秀天下,泾渭中路19号（马家湾十字向南200米）,建面 67~97m²,在售,普通住宅,3600
维也纳森林,高陵泾河工业园昭慧广场旁50米,建面 85~166m²,在售,别墅,100
秀水蓝天,泾河工业园泾渭五路南段,建面 67~91m²,在售,普通住宅,3750
天湖名郡,长庆东路与泾渭八路交汇处向南200米,建面 93~118m²,在售,普通住宅,3800
维也纳森林,高陵泾河工业园昭慧广场旁50米,建面 79~166m²,在售,普通住宅,3200
高新骊山下的院子,凤凰大道与芷阳三路交汇处,建面 36~178m²,在售,普通住宅,7000
荣华水岸新城,户县西转盘向西200米路南(涝河广场),建面 86~108m²,在售,普通住宅,4000
荣华碧水蓝庭,蓝天路5号西飞国航厂西门500米路北,建面 91~128m²,在售,普通住宅,4500
